State,District,District code,Latitude,Longitude,Population,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_Ratio,Litrecay_Ratio
Jammu and Kashmir,Kargil,4,33.565994894894914,76.63675315315312,140802,15824,235,80.0,60.0
Jammu and Kashmir,Punch,5,33.791241290322574,74.29593161290322,476835,62900,346,90.0,50.0
Jammu and Kashmir,Kathua,7,32.51781678321678,75.58901398601404,616435,109422,1443,90.0,60.0
Jammu and Kashmir,Srinagar,10,34.27312898550724,75.11021159420288,1236829,165403,16413,90.0,60.0
Jammu and Kashmir,Pulwama,12,33.88414418604652,75.00921860465118,560440,73629,1537,90.0,50.0
Jammu and Kashmir,Doda,16,33.359614675767915,76.07163720136518,409936,61831,596,90.0,50.0
Jammu and Kashmir,Udhampur,19,33.04770670731707,75.15286951219511,554985,73999,1214,90.0,60.0
Jammu and Kashmir,Jammu,21,32.713199095022645,74.8477520361991,1529958,294739,19905,90.0,70.0
Himachal Pradesh,Chamba,23,32.66741814595661,76.39354063116366,519080,96082,1615,100.0,60.0
Himachal Pradesh,Kangra,24,32.14093603238864,76.41205910931173,1510075,330081,8053,100.0,80.0
Himachal Pradesh,Kullu,26,31.90911922077925,77.40922649350647,437903,91322,2623,90.0,70.0
Himachal Pradesh,Mandi,27,31.635805940594054,76.96556930693067,999777,214491,5333,100.0,70.0
Himachal Pradesh,Hamirpur,28,31.67668481012659,76.49767088607594,454768,104120,2521,110.00000000000001,80.0
Uttar Pradesh,Hamirpur,28,25.738158381502892,79.82619479768789,454768,104120,2521,110.00000000000001,80.0
Himachal Pradesh,Hamirpur,168,31.67668481012659,76.49767088607594,1104285,55929,1196,90.0,60.0
Uttar Pradesh,Hamirpur,168,25.738158381502892,79.82619479768789,1104285,55929,1196,90.0,60.0
Himachal Pradesh,Una,29,31.58330388349513,76.18353932038836,521173,105929,2412,100.0,80.0
Chhattisgarh,Bilaspur,30,22.356942982456143,81.99770350877188,381956,79146,1574,100.0,80.0
Himachal Pradesh,Bilaspur,30,31.3780422907489,76.65316079295157,381956,79146,1574,100.0,80.0
Chhattisgarh,Bilaspur,406,22.356942982456143,81.99770350877188,2663629,519704,8566,100.0,60.0
Himachal Pradesh,Bilaspur,406,31.3780422907489,76.65316079295157,2663629,519704,8566,100.0,60.0
Himachal Pradesh,Solan,31,31.03864311926604,76.94442140672783,580320,119866,5250,90.0,70.0
Himachal Pradesh,Sirmaur,32,30.682764453961443,77.43184689507493,529855,91509,2220,90.0,70.0
Himachal Pradesh,Shimla,33,31.155725451807253,77.62573042168668,814010,172754,9177,90.0,80.0
